"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"206",206,"JABORANDI",NA,3,0.91,100,"0.735635",9225,9225,3,1,"1",0,0,94.16,23.85,10.94,33.13,82.39,0,120.38,44.17,353.11,250.45
"207",207,"JACARACI",0,3,11.58,100,"0.633804",15409,NA,3.5,1,"1",NA,NA,NA,NA,6.48,0,0,13.48,19.44,0,0,1361
"208",208,"JACOBINA",0,5,38.05,89.08,"0.545446",84811,84811,4,1,"1",1965.6,15.54,3.73,19.87,479.42,1.2,2.49,8.69,1011.57,56.2,18.66,960.03
"209",209,"JAGUAQUARA",0,5,60.29,91.97,"0.487607",55449,55449,3.5,3,"1",25.11,8.92,1.85,20.21,26.91,5.35,1.85,0,34.08,5.35,9.23,18.37
"210",210,"JAGUARARI",1,3,13.91,98.25,"0.52563",33186,33186,3,1,"1",1215.6,34.78,11.98,2.98,5803.99,5.8,0,2.98,994.05,5.8,5.99,35.75
"211",211,"JAGUARIPE",NA,3,21.84,100,"0.527649",18647,NA,5,1,"1",10.61,0,0,0,0,0,0,0,0,0,0,37.26
"212",212,"JANDAIRA",NA,3,17.23,94.19,"0.571308",11063,NA,2.75,1,"1",279.48,0,0,28.01,1181.03,8.99,0,9.34,198.34,8.99,18.71,102.72
"213",213,"JEQUIE",0,5,54.52,74.5,"0.565522",161528,161528,0.25,1,"1",238.45,12.95,0,14.11,13.59,3.08,0.64,3.21,273.66,71.51,13.48,355.85
"214",214,"JEREMOABO",1,3,8.94,97.96,"0.584378",41100,NA,2.75,1,"1",4.83,0,0,0,57.99,0,0,2.47,879.5,2.4,4.97,71.67
"215",215,"JIQUIRICA",NA,3,63.16,97.95,"0.50486",15033,15033,4.5,1,"1",13.27,6.62,0,0,46.45,0,0,0,46.45,0,6.89,13.76
"216",216,"JITAUNA",0,3,49.55,100,"0.532938",13300,NA,4.75,1,"1",30.8,0,0,0,0,0,0,0,146.32,0,0,17.91
"217",217,"JOAO DOURADO",0,1,27.85,78.48,"0.563056",25141,NA,3,3,"1",3.93,3.9,0,0,35.39,3.9,0,0,27.53,3.9,0,484.36
"218",218,"JUAZEIRO",1,5,32.77,99.13,"0.702518",218324,218324,1.5,2,"1",133.48,4.96,3.72,14.31,188.42,1.8,3.25,6,113.96,13.08,27.42,143.97
"219",219,"JUCURUCU",NA,3,6.88,100,"0.467835",10148,NA,4.75,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,9.97,0,0,10.96
"220",220,"JUSSARA",0,3,11.81,91.16,"0.506778",15841,NA,2.75,3,"1",12.5,0,0,0,18.74,0,0,0,12.5,0,6.53,582.31
"221",221,"JUSSARI",NA,3,19.21,100,"0.501592",NA,NA,2.75,3,"1",221.38,31.87,0,0,838.08,63.75,0,0,1470.59,79.68,0,154.29
"222",222,"JUSSIAPE",0,3,12.27,100,"0.563354",7229,NA,0.25,1,"1",221.03,0,78.05,32.33,27.63,0,0,0,69.07,0,0,0
"223",223,"LAFAIETE COUTINHO",0,3,8.02,100,"0.612462",4020,NA,2,3,"1",150.15,0,0,0,0,0,0,0,25.03,0,0,53.71
"224",224,"LAGOA REAL",0,3,17.45,100,"0.580069",15801,NA,4.75,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,138.19,0,0,178.74
"225",225,"LAJE",NA,3,53.6,98.81,"0.572115",23904,23904,1.75,3,"1",29.03,0,0,0,20.74,0,0,0,29.03,8.23,0,171.98
"226",226,"LAJEDAO",NA,3,6.48,100,"0.607295",4022,NA,4.75,3,"1",74.15,0,0,0,24.72,24.58,0,0,395.45,196.66,0,25.28
"227",227,"LAJEDINHO",0,3,4.76,87.22,"0.429043",3974,3974,3.75,3,"1",49.6,0,0,0,49.6,0,0,0,0,0,0,158.6
"228",228,"LAJEDO DO TABOCAL",0,3,23.14,100,"0.520872",8836,NA,3.5,3,"1",11.28,0,0,0,11.28,0,0,0,203.11,247.58,0,35.04
"229",229,"LAMARAO",0,3,48.08,100,"0.541008",9442,NA,2.75,3,"1",21.98,0,0,0,10.99,0,11.86,12.04,98.91,55.51,11.86,878.78
"230",230,"LAPAO",0,1,43.81,100,"0.603852",27521,NA,3.5,3,"1",28.4,0,0,275.5,17.75,0,0,3.67,21.3,3.54,0,433.46
"231",231,"LAURO DE FREITAS",NA,5,3375.43,73.2,"0.772548",191436,191436,0,4,"5",31.85,2.53,1.54,2.02,25.69,9.61,1.03,31.24,22.61,13.16,7.69,100.79
"232",232,"LENCOIS",0,3,9,97.24,"0.512992",11445,11445,1.5,1,"1",129.94,0,0,52.59,277.2,0,0,0,285.86,0,61.86,753.79
"233",233,"LICINIO DE ALMEIDA",0,3,15.14,100,"0.593689",12966,NA,4.75,1,"1",0,0,0,8.07,NA,NA,NA,NA,23.14,0,0,226.03
"234",234,"LIVRAMENTO DE NOSSA SENHORA",0,3,23.75,89.74,"0.646894",46035,NA,2,3,"1",6.47,0,2.2,10.93,2.16,0,2.2,0,77.59,0,330.48,596.96
"235",235,"Lu? Eduardo Magalh?s (BA)",NA,5,20.74,NA,"",NA,NA,1.5,3,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,"MACAJUBA",0,3,16.94,100,"0.522939",11837,11837,3.5,3,"1",58.93,0,0,0,42.09,16.84,0,0,33.68,16.84,0,140.99
"237",237,"MACARANI",0,5,15.66,91.47,"0.48928",18786,NA,4.5,3,"1",26.38,0,0,0,79.14,5.23,0,0,728.08,0,0,0
"238",238,"MACAUBAS",0,4,20.59,90.17,"0.536718",50262,NA,1.75,1,"1",379.17,23.54,20.21,66.23,9.87,11.77,4.04,10.03,203.41,9.81,86.91,802.79
"239",239,"MACURURE",1,4,3.26,100,"0.599832",8365,NA,4.5,3,"1",1254.83,0,0,0,24.13,0,0,0,760.14,12.1,0,25.56
"240",240,"MADRE DE DEUS",NA,5,642.5,95.53,"0.632288",20348,20348,5.25,5,"5",19.33,9.52,9.64,0,19.33,0,0,1796.8,9.67,14.28,9.64,682.69
"241",241,"MAETINGA",0,3,7.8,100,"0.588886",5174,NA,4.25,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,62.55,22.44,0,0
"242",242,"MAIQUINIQUE",0,3,17.31,68.06,"0.556263",10082,NA,3.75,3,"1",1423.94,146,0,0,78.56,9.73,0,0,206.23,48.67,0,59.34
"243",243,"MAIRI",0,3,21.77,100,"0.576409",20097,NA,1.75,3,"1",4028.17,0,0,5.35,395.22,335.11,5.33,26.77,187.47,111.7,63.99,160.63
"244",244,"MALHADA",0,3,8.87,98.97,"0.523733",17455,NA,2.25,3,"1",62.89,17.12,77.24,5.94,0,0,17.83,0,40.02,5.71,392.16,184.03
"245",245,"MALHADA DE PEDRAS",0,3,16.15,100,"0.676671",8896,NA,5,3,"1",56.34,22.58,0,0,11.27,0,0,0,67.61,11.29,0,202.55
"246",246,"MANOEL VITORINO",0,3,6.52,100,"0.488544",14488,NA,2.25,3,"1",1455.03,14.03,29.86,7.55,34.81,14.03,7.46,7.55,891.12,63.15,59.71,128.4
"247",247,"MANSIDAO",NA,4,4.43,100,"0.660607",13761,NA,3.25,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,50.49,0,0,0
